Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Confidence
no-fire_preprocessed-306-_jpg.rf.6f6b2f41c4d4f88f2b015b601b90baf6.jpg,Fire Scene,fire,1 fire region,0.4
no-fire_preprocessed-255-_jpg.rf.652722cc41ad8ae3ab459f9810fe1488.jpg,Fire Scene,fire,1 fire region,0.4
light-411-_preprocessed_jpg.rf.a36baf19f64d1a5a374e0280f9073ead.jpg,Normal Scene,None,None,0.0
fire_preprocessed-28-_jpg.rf.9be2b7d4e375c5d7fa84702bddc4ab99.jpg,Fire Scene,fire,1 fire region,0.62
fire-101-_preprocessed_jpg.rf.34c87ad56fdde2e6abf2827b42c865ce.jpg,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",0.49
smoke-151-_preprocessed_jpg.rf.75528c9a18fa17dac0d7b340f8e8daf4.jpg,Fire Scene,smoke,1 smoke plume,0.55
no-fire_preprocessed-359-_jpg.rf.e31ba2667a817cfe297c7cdd0a951918.jpg,Fire Scene,fire,1 fire region,0.4
no-fire_preprocessed-42-_jpg.rf.327c5aa5e007d86f4f7c1fd93ef3af2d.jpg,Fire Scene,fire,1 fire region,0.4
smoke-297-_preprocessed_jpg.rf.74ab24de7a4519f81968171347b89633.jpg,Fire Scene,fire,2 fire regions,0.32
light-572-_preprocessed_jpg.rf.451cdc6d5e2641c386e854f66e9c97ec.jpg,Normal Scene,None,None,0.0
fire-158-_preprocessed_jpg.rf.1894e30fed5d6a1d8ac0d5e114c5048c.jpg,Fire Scene,fire,1 fire region,0.97
no-fire_preprocessed-238-_jpg.rf.35d300ffbc6b86b12a06971e47e11d3b.jpg,Fire Scene,fire,1 fire region,0.4
smoke-255-_preprocessed_jpg.rf.b245d8f255a14a5f5f231848ee8c80ab.jpg,Fire Scene,smoke,1 smoke plume,0.26
no-fire_preprocessed-235-_jpg.rf.645d7d0f0e1de2fddd512839b3a5f84c.jpg,Fire Scene,fire,1 fire region,0.4
