Report_ID,Start_Page,End_Page,Department,Doc_Type,Date,Program,Key_Detail
RPT_001,1,2,the Benton County Sheriff's Office,Training Document,"May 26, 2015",1033 Program,RE: Mine Resistant Ambush Protected vehicle acquired through 1033 Program
RPT_002,3,3,The Benton County Sheriff's Office,MRAP Operations,6/1/16,1033 Program,SUBJECT MRAP Operations
RPT_003,4,4,Benton County Sheriff's Office,Not found,8/1/14,S.W.A.T Training,"Parking or storage: when not deployed or at maintenance facility, the MRAP must"
RPT_004,5,6,Benton Police Department,Lesson Plan,4/24/2015,S.W.A.T Training,ARMORED RESCUE VEHICLE (ARV) OPERATIONS
RPT_005,7,8,ARV,Training Document,Not found,S.W.A.T Training,training approved by BNPD.
RPT_006,9,9,Bentonville Police Department,Training Document,"July 1, 2014",MRAP Training,Law Enforcement Standards and Training
RPT_007,10,10,f Bryant Police Department,Training Document,"July 2,
2014",1033 Program,"James the Bryant Police department sent 3 senior officers to MRAP training on July 2,"
RPT_008,11,11,CABOT POLICE DEPARTMENT,Not found,Not found,MRAP Training,Mine Resistant Ambush Protected Vehicle (MRAP)
RPT_009,12,12,MRAP,Training Document,Not found,MRAP Training,"responsible for driving the MRAP to call-outs, training and ensuring that it is"
RPT_010,13,13,"St PS Fa
Crew",Not found,Not found,MRAP Training,Crew waits for vehicle to stop moving.
RPT_011,14,14,Cabot Police Department,Training Document,Not found,MRAP Training,MRAP Road Course and Training
RPT_012,15,15,the Craighead County Sheriff's Office,Training Document,"May 29, 2015",1033 Program,of the operation and training of the MRAP vehicle obtained through the LESO/1033 program. The
RPT_013,16,17,Craighead County Sheriff's Office,Training Document,Not found,1033 Program,These items will include classroom portions and a hands on / driver training portion.
RPT_014,18,18,CLEST Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations,Training Document,Not found,MRAP Training,COURSE: LESSON TITLE:
RPT_015,19,19,"Tactics / Operations
Search and Rescue
Evacuations / Emergency Situations
Required Training",MRAP Operations,Not found,MRAP Training,Craighead County Sheriff’s Office Mine Resistant Ambush Protection Vehicle
RPT_016,20,20,CLEET instructor from the Fort Smith Police Department,Not found,Not found,1033 Program,"To: Program Manager , 1033 Program"
RPT_017,21,21,Crawford County Sheriff's Office,Training Document,"January 27, 2015",1033 Program,Ref: MRAP
RPT_018,22,25,Fort Smith Police Department,Training Document,"January 19, 2015",1033 Program,CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations
RPT_019,26,26,"Evacuations / Emergency Situations
Required Training",MRAP Operations,Not found,MRAP Training,Required Training:
